1400,98,3,"Taufkirchen, München (Kreis)",Taufkirchen,48.0459958,11.6151899
1680,50,2,"Jahnstraße 39, Feldkirchen, München (Kreis)",Feldkirchen,48.1475774,11.7299205
1300,80.5,3,"Keferloher Str. 47, Haar, München (Kreis)",Haar,48.1062182,11.7289603
1350,95.7,3,"Bahnhofsweg 10, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
950,87,2,"Sauerlach, München (Kreis)",Sauerlach,47.9721357,11.6528398
1295,94,3,"Höhenkirchen-Siegertsbrunn, München (Kreis)",Höhenkirchen-Siegertsbrunn,48.0201651,11.7170264
1550,100,4,"Ludwig-Moser-Straße 4, Haar, München (Kreis)",Haar,48.1062182,11.7289603
1199,95,2.5,"Auf der Eierwiese 0, Grünwald, München (Kreis)",Grünwald,48.0486558,11.5300727
600,38.84,1,"Lena-Christ-Str. 1-7, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1830,106,3,"Grünwald, München (Kreis)",Grünwald,48.0486558,11.5300727
770,55.29,2,"Ahornring 1-9, Taufkirchen, München (Kreis)",Taufkirchen,48.0459958,11.6151899
1380,76,2,"Bahnhofstrasse 33, Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1485,103.49,3,"Queristr. 000, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
980,79,2,"Fischerschlösslstr. 1, Schäftlarn, München (Kreis)",Schäftlarn,47.979677,11.4664602
1136,71,3,"Glonnerstr. 9a, Putzbrunn, München (Kreis)",Putzbrunn,48.0753076,11.7156265
1500,94.26,3,"Joseph-Haydn-Str. 18, Haar, München (Kreis)",Haar,48.1062182,11.7289603
1330,89,3,"Michael-Haslbeck-Straße 7b, Putzbrunn, München (Kreis)",Putzbrunn,48.0753076,11.7156265
1200,81,3,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1165,63,2,"Grünwald, München (Kreis)",Grünwald,48.0486558,11.5300727
1500,105,3,"Bahnhofstraße 13, Oberhaching, München (Kreis)",Oberhaching,48.0261447,11.5963153
980,83,3,"Thomas - Diewald - Straße 4a, Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1924,124,4,"Rosa-Bauer-Weg 4, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1280,80.4,2,"Oskar-Maria-Graf-Straße 16, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1800,152,3,"Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
1780,109,3.5,"Brunnbachlweg 3, Unterföhring, München (Kreis)",Unterföhring,48.1949828,11.6449481
1950,130,4,"Schäftlarn, München (Kreis)",Schäftlarn,47.979677,11.4664602
1000,70,2,"Schäftlarn, München (Kreis)",Schäftlarn,47.979677,11.4664602
1490,109,3,"Niederried 4, Schäftlarn, München (Kreis)",Schäftlarn,47.979677,11.4664602
1600,125,4,"Wiesstr. 42, Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
1500,78,3,"Gistlstr. 107b, Pullach im Isartal, München (Kreis)",Pullach im Isartal,48.0556122,11.5217455
1280,72,3,"Birkenstraße 8, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1050,76,3,"Unterbiberger Straße 000, Neubiberg, München (Kreis)",Neubiberg,48.0769935,11.6615136
2770,145,4,"Pullach im Isartal, München (Kreis)",Pullach im Isartal,48.0556122,11.5217455
2230,118,3,"Pullach im Isartal, München (Kreis)",Pullach im Isartal,48.0556122,11.5217455
1488,72,3,"Ludwig-Moser-Straße 11, Haar, München (Kreis)",Haar,48.1062182,11.7289603
1225,85,3,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1090,70,2,"Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1260,97,3,"Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
2500,84,2,"Gräfelfing, München (Kreis)",Gräfelfing,48.1212042,11.4299784
1450,96,3,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1349,71,3,"Glonnerstr. 9, Putzbrunn, München (Kreis)",Putzbrunn,48.0753076,11.7156265
1140,81.5,3,"Westerhamer Weg 30, Taufkirchen, München (Kreis)",Taufkirchen,48.0459958,11.6151899
1900,120,3,"Clemens-Schöps-Strasse 7, Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
1200,89,3,"Bahnhofstrasse 19, Taufkirchen, München (Kreis)",Taufkirchen,48.0459958,11.6151899
760,54,2,"Haar, München (Kreis)",Haar,48.1062182,11.7289603
820,63,2.5,"Poststraße 1, Garching bei München, München (Kreis)",Garching bei München,48.2513878,11.6509662
800,85,3,"Hauptstraße 5, Straßlach-Dingharting, München (Kreis)",Straßlach-Dingharting,47.98102425,11.5102257088
990,38,1,"Pullach im Isartal, München (Kreis)",Pullach im Isartal,48.0556122,11.5217455
860,66,2,"Bahnhofstraße 3, Oberhaching, München (Kreis)",Oberhaching,48.0261447,11.5963153
1025,60.62,2,"Rosa-Bauer-Weg 5, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1400,50,1,"Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
800,70,2,"Höhenkirchen-Siegertsbrunn, München (Kreis)",Höhenkirchen-Siegertsbrunn,48.0201651,11.7170264
1250,85.38,3,"Stumpfwiesenweg 8, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
800,60,2,"Wieselweg 24, Haar, München (Kreis)",Haar,48.1062182,11.7289603
990,75,3,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1295,77.8,3,"Rosa-Bauer-Weg 3, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1095,73,3,"Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
1350,93,3.5,"Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
1185,73,2,"Feldkirchen, München (Kreis)",Feldkirchen,48.1475774,11.7299205
950,72,2,"Gautinger Straße 16, Neuried, München (Kreis)",Neuried,48.0932345,11.4651589
1350,77.5,3,"Föhringer Allee 95, Unterföhring, München (Kreis)",Unterföhring,48.1949828,11.6449481
590,21,1,"Einsteinstraße 3, Garching bei München, München (Kreis)",Garching bei München,48.2513878,11.6509662
1012,92,3,"Feldkirchen, München (Kreis)",Feldkirchen,48.1475774,11.7299205
800,43,2,"Pullach im Isartal, München (Kreis)",Pullach im Isartal,48.0556122,11.5217455
990,51.27,2,"Grünwald, München (Kreis)",Grünwald,48.0486558,11.5300727
930,70,2,"Brunnthaler Str. 3, Brunnthal, München (Kreis)",Brunnthal,48.0073142,11.683456
970,73,2,"Brunnthaler Str. 3, Brunnthal, München (Kreis)",Brunnthal,48.0073142,11.683456
990,71.05,2,"Mozartstraße 1, Feldkirchen, München (Kreis)",Feldkirchen,48.1475774,11.7299205
840,65,2,"Margaretenanger 00, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1890,89,4,"Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1100,84,3,"Straßlach-Dingharting, München (Kreis)",Straßlach-Dingharting,47.98102425,11.5102257088
1260,83,3,"Finkenstr. 00, Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
530,39,2,"Putzbrunn, München (Kreis)",Putzbrunn,48.0753076,11.7156265
1190,80,2,"Pasinger Strasse 55, Gräfelfing, München (Kreis)",Gräfelfing,48.1212042,11.4299784
1850,102,3,"Lilienthalstrasse 20, Neubiberg, München (Kreis)",Neubiberg,48.0769935,11.6615136
830,44,2,"Herzogstandbogen 15, Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
1765.76,110.36,4,"Garching bei München, München (Kreis)",Garching bei München,48.2513878,11.6509662
1050,92,2.5,"Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
450,10.5,1,"Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
1300,78,3,"Unterföhring, München (Kreis)",Unterföhring,48.1949828,11.6449481
1290,83,3,"Grünwald, München (Kreis)",Grünwald,48.0486558,11.5300727
950,70,3.5,"Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
1530,121.52,3,"Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1245,87,4,"Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1780,140.71,4,"Aying, München (Kreis)",Aying,47.9700185,11.7787094
1395,105,3.5,"Haar, München (Kreis)",Haar,48.1062182,11.7289603
850,50,2,"Ammerseestraße 20, Neuried, München (Kreis)",Neuried,48.0932345,11.4651589
940,55.31,2,"Ahornstrasse 17, Unterföhring, München (Kreis)",Unterföhring,48.1949828,11.6449481
1470,94,3,"Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
550,38.88,1,"Konradstraße 15, Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
1750,73,3,"Am Sportpark 25, Kirchheim bei München, München (Kreis)",Kirchheim bei München,48.175748,11.756219
1488,72,3,"Ludwig - Moser - Str. 11, Haar, München (Kreis)",Haar,48.1062182,11.7289603
1200,71,2,"Alleestraße 51, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1100,93,2.5,"Bruckmannring 16, Oberschleißheim, München (Kreis)",Oberschleißheim,48.2549383,11.5546058
1500,125,3,"Grasbrunn, München (Kreis)",Grasbrunn,48.0789075,11.7432493
1518,72,3,"Ludwig - Moser - Straße 11, Haar, München (Kreis)",Haar,48.1062182,11.7289603
760,58,2,"Sauerlach, München (Kreis)",Sauerlach,47.9721357,11.6528398
1150,90,3,"Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
650,49,2,"Germeringerstrasse 24, Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1450,96,3,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
800,40,2,"Kirchheim bei München, München (Kreis)",Kirchheim bei München,48.175748,11.756219
950,54,2,"Rosenheimer Straße 19, Höhenkirchen-Siegertsbrunn, München (Kreis)",Höhenkirchen-Siegertsbrunn,48.0201651,11.7170264
1220,64,2,"Am Mühlbach 1 D, Garching bei München, München (Kreis)",Garching bei München,48.2513878,11.6509662
1250,130,4.5,"Sauerlach, München (Kreis)",Sauerlach,47.9721357,11.6528398
1000,60,2,"Fischhaberweg. 5, Oberhaching, München (Kreis)",Oberhaching,48.0261447,11.5963153
1042,87,3.5,"Josef-Wiesberger-Str. 14, Haar, München (Kreis)",Haar,48.1062182,11.7289603
1340,77,3,"Michael-Haslbeck-Straße 7b, Putzbrunn, München (Kreis)",Putzbrunn,48.0753076,11.7156265
900,32,1,"Georg Elser Straße 1, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1050,55,2,"Siriusstraße 8, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1400,67,2,"Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1490,99,3,"Haar, München (Kreis)",Haar,48.1062182,11.7289603
1100,80,3,"Oberschleißheim, München (Kreis)",Oberschleißheim,48.2549383,11.5546058
1400,82.8,2,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
535,36.9,1,"Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1040,83,3,"Feldkirchen, München (Kreis)",Feldkirchen,48.1475774,11.7299205
1145,95,4,"Dittmannstr. 10, Haar, München (Kreis)",Haar,48.1062182,11.7289603
1975,116,4,"Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1650,97.29,3,"Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
800,63,3,"Schönswetterstr. 0, Neubiberg, München (Kreis)",Neubiberg,48.0769935,11.6615136
1200,89,3.5,"Münchener Straße 3, Sauerlach, München (Kreis)",Sauerlach,47.9721357,11.6528398
1400,87.47,3,"Rosa-Bauer-Weg 12, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1280,90,3,"Münchener Straße 3, Sauerlach, München (Kreis)",Sauerlach,47.9721357,11.6528398
1590,63,2,"Gartenstraße 4a, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
940,68,2,"Johann-Strauß-Str. 4, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
1100,77.85,3,"Taufkirchen, München (Kreis)",Taufkirchen,48.0459958,11.6151899
1150,120,3,"Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
1300,79,3,"Röntgenstraße 21, Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1320,85,3,"Grünwald, München (Kreis)",Grünwald,48.0486558,11.5300727
1180,82,2,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
320,12,1,"Unterföhring, München (Kreis)",Unterföhring,48.1949828,11.6449481
1220,86,3,"Bahnhofstr. 18, Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1650,165,4,"Pframmerner Weg 1, Grasbrunn, München (Kreis)",Grasbrunn,48.0789075,11.7432493
1300,77,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
2480,158,6,"Haar, München (Kreis)",Haar,48.1062182,11.7289603
485,35,1,"Garching bei München, München (Kreis)",Garching bei München,48.2513878,11.6509662
1900,103,3.5,"Grünwald, München (Kreis)",Grünwald,48.0486558,11.5300727
1290,102.75,4,"Taufkirchen, München (Kreis)",Taufkirchen,48.0459958,11.6151899
1100,77,3,"Rudolfstr. 1, Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1055,74.54,3,"Taufkirchen, München (Kreis)",Taufkirchen,48.0459958,11.6151899
1279,95,3,"Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
1599.39,74.53,2.5,"Mühlfeldweg 20, Garching bei München, München (Kreis)",Garching bei München,48.2513878,11.6509662
1300,73,4,"Alexander-Pachmann-Straße 1, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
2016.03,118.59,4,"Mühlfeldweg 20, Garching bei München, München (Kreis)",Garching bei München,48.2513878,11.6509662
1490,126,5,"Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
680,46,1,"Geroldstrasse 23, Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
1370,92,3,"Lerchenstraße 71a, Höhenkirchen-Siegertsbrunn, München (Kreis)",Höhenkirchen-Siegertsbrunn,48.0201651,11.7170264
1500,75,3,"Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
1350,100,3,"Lena-Christ-Str. 6, Planegg, München (Kreis)",Planegg,48.103742,11.4220029
1049,59,2,"Alexander-Pachmann-Straße 4h, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
780,59,2,"Haar, München (Kreis)",Haar,48.1062182,11.7289603
990,88,4,"Ludwig-Thoma-Str. 85, Haar, München (Kreis)",Haar,48.1062182,11.7289603
880,84,3,"Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
990,74,3,"Neubiberg, München (Kreis)",Neubiberg,48.0769935,11.6615136
545,32,1,"Unterföhring, München (Kreis)",Unterföhring,48.1949828,11.6449481
730,60,2,"Beethovenstraße 2, Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
870,68,2.5,"Sauerlach, München (Kreis)",Sauerlach,47.9721357,11.6528398
760,44,2,"Winklerring 65, Grasbrunn, München (Kreis)",Grasbrunn,48.0789075,11.7432493
1390,94,3,"Furtweg 55, Unterschleißheim, München (Kreis)",Unterschleißheim,48.2730686,11.5702716
770,63,2,"Winklerring 22, Grasbrunn, München (Kreis)",Grasbrunn,48.0789075,11.7432493
520,27,1,"Schlehenring 107, Kirchheim bei München, München (Kreis)",Kirchheim bei München,48.175748,11.756219
1200,83.05,2,"Ottobrunn, München (Kreis)",Ottobrunn,48.0643823,11.6675042
520,34,1,"Aschheim, München (Kreis)",Aschheim,48.1713481,11.7160347
985,79,2.5,"Unterbiberger Str. 13a, Neubiberg, München (Kreis)",Neubiberg,48.0769935,11.6615136
640,41,1,"Am Hang 0, Ismaning, München (Kreis)",Ismaning,48.2242434,11.6715263
950,65,2,"Ottobrunnerstrasse 33, Unterhaching, München (Kreis)",Unterhaching,48.0662249,11.6102245
3630,149,3,"Bogenhausen, München",Bogenhausen,48.1547823,11.6334838
3500,135,3,"Leopoldstr. 168, Schwabing, München",Schwabing,48.1599218,11.5761796
1800,53,1.5,"Viktor-Scheffel-Straße 11, Schwabing-West, München",Schwabing-West,48.164417,11.5703639
630,33,1,"Destouchesstraße 16, Schwabing-West, München",Schwabing-West,48.164417,11.5703639
2200,115,3,"Gumppenbergstraße 1, Bogenhausen, München",Bogenhausen,48.1547823,11.6334838
780,30,1,"Helene-Mayer-Ring 4, Milbertshofen, München",Milbertshofen,48.1823848,11.5750432
620,31,1,"Perlacher Str. 100, Obergiesing, München",Obergiesing,48.1111557,11.5889093
1690,80.32,3,"Max-Bill-Str. 44, Schwabing, München",Schwabing,48.1599218,11.5761796
2950,70,2,"Schwabing-West, München",Schwabing-West,48.164417,11.5703639
1590,54,2,"Dachau, Dachau (Kreis)",Dachau,48.2513758,11.5422624
